package_name,title_de,maintainer,maintainer_email,issued,modified,license,keywords_de,snapshot_date
waldbrandgefahr,Waldbrandgefahr,info@bafu.admin.ch,,2023-03-15T00:00:00,2026-06-15T10:19:34+00:00,,,2026-06-16
magnetfeldbelastung-elektrische-anlagen-modelliert,Magnetfeldbelastung durch elektrische Anlagen (modeliert),noise@bafu.admin.ch,,2026-04-15T00:00:00,,,"e-geoch,aufbewahrungs--und-archivierungsplanung-aap---bund,nichtionisierende-strahlung,strahlung,hochspannungsleitung,elektrizitat,magnetismus,energiebedingte-umweltbelastung,elektrosmog,umwelt,gesundheit-und-sicherheit",2026-06-16
uberschwemmungsgebiete-aquaprotect-wiederkehrperiode-500-jahre,Überschwemmungsgebiete Aquaprotect: Wiederkehrperiode 500 Jahre,gefahrenpraevention@bafu.admin.ch,,2008-12-18T00:00:00,,,"naturrisikoanalyse,naturgefahr,naturrisiko,gebiete-mit-naturbedingten-risiken,bgdi-bundesgeodaten-infrastruktur",2026-06-16
nationales-okologisches-netzwerk-ren-lebensraum-wald,"Nationales ökologisches Netzwerk REN, Lebensraum Wald",bnl@bafu.admin.ch,,,2011-02-14T00:00:00,,"umwelt,artenvielfalt,zerstorung-des-lebensraums,wald,lebensraume-und-biotope,bgdi-bundesgeodaten-infrastruktur",2026-06-16
uberschreitung-der-kritischen-eintragsgrenzen-critical-loads-fur-stickstoff,Überschreitung der kritischen Eintragsgrenzen (Critical Loads) für Stickstoff,chemicals@bafu.admin.ch,,,2022-08-15T00:00:00,,"luft,luftschadstoff,schadstoff,atmospharische-bedingungen,gesundheit-und-sicherheit,bgdi-bundesgeodaten-infrastruktur,e-geoch,aufbewahrungs--und-archivierungsplanung-aap---bund",2026-06-16
nationales-okologisches-netzwerk-ren-lebensraum-extensives-landwirtschaftsgebiet,"Nationales ökologisches Netzwerk REN, Lebensraum Extensives Landwirtschaftsgebiet",bnl@bafu.admin.ch,,,2011-02-14T00:00:00,,"umwelt,zerstorung-des-lebensraums,okologischer-parameter,artenvielfalt,lebensraume-und-biotope,bgdi-bundesgeodaten-infrastruktur",2026-06-16
feinstaub-pm10,Luftbelastung durch Feinstaub PM10,chemicals@bafu.admin.ch,,2025-01-01T00:00:00,2025-08-19T00:00:00,,"luft-atmosphare,luft,luftschadstoff,schadstoff,gesundheit-und-sicherheit,atmospharische-bedingungen,bgdi-bundesgeodaten-infrastruktur,aufbewahrungs--und-archivierungsplanung-aap---bund,e-geoch",2026-06-16
biospharenreservate,Biosphärenreservate,bnl@bafu.admin.ch,,2017-01-01T00:00:00,,,"schutzgebiet,biospharenreservat,biosphare,lebensraume-und-biotope,umweltuberwachung,bgdi-bundesgeodaten-infrastruktur",2026-06-16
nationales-okologisches-netzwerk-ren-lebensraum-feuchtgebiet,"Nationales ökologisches Netzwerk REN, Lebensraum Feuchtgebiet",bnl@bafu.admin.ch,,,2011-02-14T00:00:00,,"feuchtgebiet,zerstorung-des-lebensraums,umwelt,artenvielfalt,lebensraume-und-biotope,bgdi-bundesgeodaten-infrastruktur",2026-06-16
nationales-okologisches-netzwerk-ren-lebensraum-trockenstandort,"Nationales ökologisches Netzwerk REN, Lebensraum Trockenstandort",bnl@bafu.admin.ch,,,2011-02-14T00:00:00,,"trockengebiet,umwelt,artenvielfalt,zerstorung-des-lebensraums,lebensraume-und-biotope,bgdi-bundesgeodaten-infrastruktur",2026-06-16
monatliche-erosionsrisikokarten-des-schweizer-dauergrunlands-mittlerer-bodenabtrag-in-tonnen-ha1,"Monatliche Erosionsrisikokarten des Schweizer Dauergrünlands, mittlerer Bodenabtrag in Tonnen/(ha*Monat), Februar",altlasten@bafu.admin.ch,,2019-04-01T00:00:00,2019-06-27T00:00:00,,"erosion,erosionsschutz,bodenerosion,boden,gesundheit-und-sicherheit,atmospharische-bedingungen,bgdi-bundesgeodaten-infrastruktur,e-geoch,aufbewahrungs--und-archivierungsplanung-aap---bund",2026-06-16
schutzgebiete-der-zivilen-luftfahrthindernispublikation-ubrige-schutzgebiete,Schutzgebiete der zivilen Luftfahrthindernispublikation - Übrige Schutzgebiete,bnl@bafu.admin.ch,,,2023-07-01T00:00:00,,"schutzgebiete,luftfahrt,luftfahrthindernis,bgdi-bundesgeodaten-infrastruktur",2026-06-16
waldbrandpraventionsmassnahmen,Waldbrandpräventionsmassnahmen,info@bafu.admin.ch,,2023-03-15T00:00:00,2026-06-09T13:18:27+00:00,,,2026-06-16
aktuelle-lage-trockenheit-in-der-schweiz,Aktuelle Lage Trockenheit in der Schweiz,hydrologie@bafu.admin.ch,,2024-11-25T00:00:00,,,"landwirtschaft,see,niederschlag,gewasser,hydrologie,fliessgewasser,bgdi-bundesgeodaten-infrastruktur",2026-06-16
hydrogeologische-karte-der-schweiz-1-100000,Hydrogeologische Karte der Schweiz 1:100000,hydrogeologie@bafu.admin.ch,,1972-01-01T00:00:00,2014-12-31T00:00:00,,"grundwassertrager,hydrogeologie,grundwasser,bgdi-bundesgeodaten-infrastruktur,aufbewahrungs--und-archivierungsplanung-aap---bund,geobasisdaten",2026-06-16
